Phase/Module,Specific Task,Inferred Course Competency,Expected Level,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,Arm-Hand Steadiness,Auditory Attention,Category Flexibility,Control Precision,Deductive Reasoning,Depth Perception,Dynamic Flexibility,Dynamic Strength,Explosive Strength,Extent Flexibility,Far Vision,Finger Dexterity,Flexibility of Closure,Fluency of Ideas,Glare Sensitivity,Gross Body Coordination,Gross Body Equilibrium,Hearing Sensitivity,Inductive Reasoning,Information Ordering,Manual Dexterity,Mathematical Reasoning,Memorization,Multilimb Coordination,Near Vision,Night Vision,Number Facility,Oral Comprehension,Oral Expression,Originality,Perceptual Speed,Peripheral Vision,Problem Sensitivity,Rate Control,Reaction Time,Response Orientation,Selective Attention,Sound Localization,Spatial Orientation,Speech Clarity,Speech Recognition,Speed of Closure,Speed of Limb Movement,Stamina,Static Strength,Time Sharing,Trunk Strength,Visual Color Discrimination,Visualization,Wrist-Finger Speed,Written Comprehension,Written Expression,Analyzing Data or Information,Assisting and Caring for Others,Coaching and Developing Others,Communicating with People Outside the Organization,"Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Coordinating the Work and Activities of Others,Developing Objectives and Strategies,Developing and Building Teams,Documenting/Recording Information,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Establishing and Maintaining Interpersonal Relationships,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Evaluating Information to Determine Compliance with Standards,Getting Information,"Guiding, Directing, and Motivating Subordinates",Handling and Moving Objects,"Identifying Objects, Actions, and Events","Inspecting Equipment, Structures, or Materials",Interpreting the Meaning of Information for Others,"Judging the Qualities of Objects, Services, or People",Making Decisions and Solving Problems,"Monitoring Processes, Materials, or Surroundings",Monitoring and Controlling Resources,"Operating Vehicles, Mechanized Devices, or Equipment","Organizing, Planning, and Prioritizing Work",Performing Administrative Activities,Performing General Physical Activities,Performing for or Working Directly with the Public,Processing Information,Providing Consultation and Advice to Others,Repairing and Maintaining Electronic Equipment,Repairing and Maintaining Mechanical Equipment,Resolving Conflicts and Negotiating with Others,Scheduling Work and Activities,Selling or Influencing Others,Staffing Organizational Units,Thinking Creatively,Training and Teaching Others,Updating and Using Relevant Knowledge,Working with Computers,Achievement/Effort,Adaptability/Flexibility,Analytical Thinking,Attention to Detail,Concern for Others,Cooperation,Dependability,Independence,Initiative,Innovation,Integrity,Leadership,Persistence,Self-Control,Social Orientation,Stress Tolerance
Year 1: Masterclass Management Accounting & Control,Analyze cost structures to identify efficiencies and cost reduction opportunities.,Cost Analysis and Optimization,6,0,0,60,0,60,0,0,0,0,60,0,0,0,0,50,0,0,0,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,60,0,0,0,0,0,0,50,0,0,0,0,0,0
Year 1: Masterclass Management Accounting & Control,Prepare and present insightful internal management reports for operational and strategic decisions.,Management Reporting and Communication,6,0,50,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,50,60,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0
Year 1: Masterclass Management Accounting & Control,Evaluate the effectiveness and efficiency of existing internal control systems.,Internal Control System Evaluation,6,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0
Year 1: Masterclass Management Accounting & Control,Formulate data-driven recommendations for enhancing operational performance and profitability.,Strategic Recommendation Development,7,0,0,70,0,70,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,60,60,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,60,0,50,0,0,0,0
Year 1: Masterclass Management Accounting & Control,Implement advanced costing methodologies such as Activity-Based Costing (ABC).,Advanced Costing Methodology Implementation,6,0,0,60,0,0,0,0,0,0,60,0,0,0,0,50,0,0,0,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0
Year 1: Masterclass Management Accounting & Control,Monitor and report on key performance indicators (KPIs) against strategic objectives.,KPI Monitoring and Strategic Reporting,6,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,50,0,0,0,0,0,0,0,0,50,0,60,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0
Year 1: Masterclass Management Accounting & Control,Develop and apply transfer pricing policies for intercompany transactions.,Strategic Intercompany Financial Policy Development and Application,6,0,0,60,0,60,0,0,0,0,60,0,60,0,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,40,0,0,0,0,0,0,40,0,0,0,0,0
Year 1: Masterclass Managerial Information Provision,Design and optimize information systems to support effective managerial decision-making.,Strategic Managerial Information System Design and Optimization,6,0,0,60,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,0,40,0,40,0,0,0,0,0,60,60,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0,60,0,0,0,40,0,0,0,60,40,0,0,0,0,0,0,60,0,40,40,0,0,60,0,0,0,0,0,0,60,0,0,0,0,0,0
Year 1: Masterclass Managerial Information Provision,"Ensure the accuracy, completeness, and integrity of financial data across systems.",Financial Data Quality Assurance and Governance,6,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,60,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,40,0,0,60,60,0,0,0,0,0,0,60,0,0,0,0,0
Year 1: Masterclass Managerial Information Provision,Develop and maintain comprehensive management dashboards and reporting tools.,Advanced Business Intelligence and Management Reporting,6,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,60,0,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,40,0,0,40,0,0,0,0,0,0,60,0,60,40,0,0,40,0,0,0,60,0,0,0,0,0,0,0,60,0,40,40,0,0,60,40,0,0,0,0,0,60,0,0,0,0,0,0
Year 1: Masterclass Managerial Information Provision,Implement and enforce data governance policies for financial information management.,Financial Data Governance Implementation and Compliance,6,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,60,0,0,0,0,40,0,60,40,0,0,0,0,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,0,0,60,0,0,0,0,0,60,0,0,0,0,0,40,0,60,60,0,0,40,0,0,0,0,40,0,0,40,0,0,0,0,0,40,0,0,0,60,40,0,0,0,0,0,0,60,40,0,0,0,0
Year 1: Masterclass Managerial Information Provision,Analyze and fulfill the information needs of diverse organizational stakeholders.,Stakeholder Information Requirements Analysis and Fulfillment,6,0,60,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,40,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,40,60,0,0,0,0,0,0,40,0,0,60,0,0,0,0,60,0,60,0,0,0,40,0,0,0,60,40,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,40,0,0,0,0,0,0,0,0,40,0
Year 1: Masterclass Managerial Information Provision,Streamline and automate financial reporting processes for efficiency and relevance.,Financial Process Optimization and Automation,6,0,0,60,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,0,40,60,40,0,0,0,0,0,60,60,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0,60,60,0,0,40,0,0,0,60,0,0,0,0,0,0,0,60,0,40,40,0,0,60,0,0,0,0,0,0,60,0,0,0,0,0,0
Year 1: Masterclass Financial Accounting,"Prepare and review financial statements in compliance with international accounting standards (e.g., IFRS).",IFRS Financial Statement Preparation and Review,6,0,0,0,0,60,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,0,0,0,0,0,0,0,0,40,0,0,0,60,40,0,0,0,0,60,0,60,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,60,40,0,0,60,60,0,0,0,0,0,0,60,0,0,0,0,0
Year 1: Masterclass Financial Accounting,Conduct in-depth financial statement analysis to assess organizational health and performance.,Financial Statement Analysis and Performance Assessment,6,0,0,0,0,60,0,0,0,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,40,0,40,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,60,40,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0
Year 1: Masterclass Financial Accounting,Interpret and apply complex accounting regulations to specific business transactions.,Application of Complex Accounting Regulations,6,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0
Year 1: Masterclass Financial Accounting,Manage and coordinate the external audit process effectively.,External Audit Management and Coordination,6,0,40,60,60,0,0,0,0,0,0,0,40,0,40,0,40,40,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,40,0,0,40,40,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,60,0,0,0,0
Year 1: Masterclass Financial Accounting,Communicate financial results and disclosures clearly to external stakeholders.,Financial Communication and Disclosure,6,0,40,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,60,60,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0
Year 1: Masterclass Financial Accounting,Evaluate the financial impact of significant business events and transactions.,Financial Impact Assessment,6,0,0,60,0,60,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,40,0,40,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,60,40,0,0,60,0,0,0,0,0,0,40,0,0,0,0,0,0
"Year 1: Masterclass Risk Management, Compliance & Governance","Identify, assess, and prioritize financial and operational risks within the organization.","Risk Identification, Assessment, and Prioritization",6,0,0,60,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,40,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,60,0,0,0,0,60,60,60,0,0,60,0,0,0,60,60,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0
"Year 1: Masterclass Risk Management, Compliance & Governance",Develop and implement comprehensive risk mitigation and control strategies.,Risk Mitigation and Control Strategy Development,6,0,0,60,40,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,60,60,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,60,40,0,60,0,0,0,0
